127.0.0.1, 2014-05-28 22:02:43, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000924
127.0.0.1, 2014-05-28 22:02:43, GET, /myapp/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001315
127.0.0.1, 2014-05-28 22:02:44, GET, /myapp/static/images/twitter.png, HTTP/1.1, 304, 0.001142
127.0.0.1, 2014-05-28 22:02:44, GET, /myapp/static/images/facebook.png, HTTP/1.1, 304, 0.001418
127.0.0.1, 2014-05-28 22:02:44, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 304, 0.000380
127.0.0.1, 2014-05-28 22:02:48, GET, /myapp/default/second, HTTP/1.1, 200, 0.056392
127.0.0.1, 2014-05-28 22:02:48, GET, /myapp/static/js/share.js, HTTP/1.1, 304, 0.000736
127.0.0.1, 2014-05-28 22:04:49, GET, /admin/default/peek/myapp/views/default/first.html, HTTP/1.1, 200, 0.040929
127.0.0.1, 2014-05-28 22:05:10, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.070989
127.0.0.1, 2014-05-28 22:05:13, GET, /admin/default/peek/myapp/views/default/second.html, HTTP/1.1, 200, 0.028356
127.0.0.1, 2014-05-28 22:29:51, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.093813
127.0.0.1, 2014-05-29 20:54:01, GET, /admin/default/site, HTTP/1.1, 303, 0.092266
127.0.0.1, 2014-05-29 20:54:01, GET, /admin/default/index, HTTP/1.1, 200, 0.116601
127.0.0.1, 2014-05-29 20:54:06, POST, /admin/default/index, HTTP/1.1, 303, 0.065839
127.0.0.1, 2014-05-29 20:54:06, GET, /admin/default/site, HTTP/1.1, 200, 0.077237
127.0.0.1, 2014-05-29 20:54:07, POST, /admin/default/check_version, HTTP/1.1, 200, 0.516496
127.0.0.1, 2014-05-29 20:54:26, GET, /admin/default/site, HTTP/1.1, 200, 0.040233
127.0.0.1, 2014-05-29 20:55:00, POST, /admin/default/site, HTTP/1.1, 303, 0.401196
127.0.0.1, 2014-05-29 20:55:01, GET, /admin/default/design/socialstore, HTTP/1.1, 200, 0.362780
127.0.0.1, 2014-05-29 21:36:47, GET, /admin/default/peek/socialstore/models/db.py, HTTP/1.1, 200, 0.067258
127.0.0.1, 2014-05-29 21:37:11, GET, /admin/default/design/socialstore, HTTP/1.1, 200, 0.074346
127.0.0.1, 2014-05-29 21:37:13, GET, /admin/default/peek/socialstore/models/menu.py, HTTP/1.1, 200, 0.039370
127.0.0.1, 2014-05-29 21:37:19, GET, /admin/default/design/socialstore, HTTP/1.1, 200, 0.073389
127.0.0.1, 2014-05-29 21:37:36, POST, /admin/default/create_file, HTTP/1.1, 303, 0.025965
127.0.0.1, 2014-05-29 21:37:36, GET, /admin/default/design/socialstore, HTTP/1.1, 200, 0.077315
127.0.0.1, 2014-05-29 21:37:48, POST, /admin/default/create_file, HTTP/1.1, 303, 0.034806
127.0.0.1, 2014-05-29 21:37:49, GET, /admin/default/design/socialstore, HTTP/1.1, 200, 0.066354
127.0.0.1, 2014-05-29 21:38:05, POST, /admin/default/create_file, HTTP/1.1, 303, 0.029642
127.0.0.1, 2014-05-29 21:38:05, GET, /admin/default/design/socialstore, HTTP/1.1, 200, 0.280526
127.0.0.1, 2014-05-29 21:38:27, POST, /admin/default/create_file, HTTP/1.1, 303, 0.030681
127.0.0.1, 2014-05-29 21:38:28, GET, /admin/default/design/socialstore, HTTP/1.1, 200, 0.210295
127.0.0.1, 2014-05-29 21:38:38, GET, /admin/default/peek/socialstore/controllers/user_controller.py, HTTP/1.1, 200, 0.042524
127.0.0.1, 2014-06-04 16:45:02, GET, /, HTTP/1.1, 303, 0.000816
127.0.0.1, 2014-06-04 16:45:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.534099
127.0.0.1, 2014-06-04 16:45:03, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000437
127.0.0.1, 2014-06-04 16:45:03, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000361
127.0.0.1, 2014-06-04 16:45:03, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000718
127.0.0.1, 2014-06-04 16:45:03, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001515
127.0.0.1, 2014-06-04 16:45:03, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001116
127.0.0.1, 2014-06-04 16:45:03, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000386
127.0.0.1, 2014-06-04 16:45:03, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000408
127.0.0.1, 2014-06-04 16:45:03, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000362
127.0.0.1, 2014-06-04 16:45:03, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000362
127.0.0.1, 2014-06-04 16:45:03, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000336
127.0.0.1, 2014-06-04 16:45:03, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000372
127.0.0.1, 2014-06-04 16:45:03, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000370
127.0.0.1, 2014-06-04 16:45:03, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001035
127.0.0.1, 2014-06-04 16:45:03, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000815
127.0.0.1, 2014-06-04 16:45:03, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000608
127.0.0.1, 2014-06-04 16:45:03, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000386
127.0.0.1, 2014-06-04 16:45:05, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000300
127.0.0.1, 2014-06-04 16:45:06, GET, /welcome/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000359
127.0.0.1, 2014-06-04 16:45:09, GET, /admin/default/index, HTTP/1.1, 200, 0.552905
127.0.0.1, 2014-06-04 16:45:09, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000326
127.0.0.1, 2014-06-04 16:45:09, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 200, 0.001100
127.0.0.1, 2014-06-04 16:45:09, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001005
127.0.0.1, 2014-06-04 16:45:09, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 200, 0.000827
